x_m,deflection_m
0.0,0.0
0.00375,7.017568689613526e-07
0.0075,2.7834390096618354e-06
0.01125,6.209663722826086e-06
0.015,1.0945048309178741e-05
0.01875,1.6954210069444442e-05
0.0225,2.420176630434782e-05
0.026250000000000002,3.265233431461353e-05
0.03,4.227053140096617e-05
0.033749999999999995,5.302097486413041e-05
0.0375,6.486828200483092e-05
0.041249999999999995,7.777707012379224e-05
0.045,9.171195652173911e-05
0.04875,0.00010663755849939612
0.052500000000000005,0.00012251849335748793
0.05625,0.0001393193783967391
0.06,0.00015700483091787436
0.06375,0.00017553946822161832
0.06749999999999999,0.00019488790760869556
0.07125000000000001,0.00021501476637983093
0.075,0.00023588466183574876
0.07875,0.0002574622112771739
0.08249999999999999,0.00027971203200483075
0.08625,0.00030259874131944437
0.09,0.0003260869565217391
0.09375,0.00035014129491243957
0.0975,0.0003747263737922705
0.10124999999999999,0.0003998068104619564
0.10500000000000001,0.00042534722222222225
0.10874999999999999,0.0004513122263737921
0.1125,0.00047766644021739126
0.11624999999999999,0.0005043744810537439
0.12,0.0005314009661835748
0.12375,0.0005587105129076086
0.1275,0.0005862677385265699
0.13125,0.0006140372603411835
0.13499999999999998,0.0006419836956521736
0.13874999999999998,0.0006700716617602656
0.14250000000000002,0.0006982657759661837
0.14625,0.000726530655570652
0.15,0.0007548309178743959
