angle_deg,length_m,signed_moment_arm_m,signed_actuator_force_N,required_capacity_N,singular
10.0,0.17363948436500254,0.03322381600911347,-1203.9556199392564,1805.9334299088846,False
10.5,0.17334819827746362,0.033533874404367545,-1192.8236957549495,1789.2355436324242,False
11.0,0.17305421071374466,0.03384294683528839,-1181.9301727676852,1772.8952591515279,False
11.5,0.17275753032804347,0.03415102182509871,-1171.268028372805,1756.9020425592075,False
12.0,0.1724581658749599,0.034458087839908176,-1160.8305192626901,1741.245778894035,False
12.5,0.1721561262099999,0.03476413328738492,-1150.6111678186164,1725.9167517279247,False
13.0,0.17185142029009165,0.03506914651539716,-1140.6037492939254,1710.905623940888,False
13.5,0.17154405717411322,0.0353731158106244,-1130.8022797354456,1696.2034196031684,False
14.0,0.17123404602343292,0.03567602939713751,-1121.201004594122,1681.801506891183,False
14.5,0.17092139610246185,0.03597787543494675,-1111.7943879795191,1667.6915819692786,False
15.0,0.1706061167792193,0.036278642018517285,-1102.5771025162205,1653.865653774331,False
15.5,0.1702882175259117,0.03657831717525098,-1093.544019763275,1640.3160296449123,False
16.0,0.16996770791952406,0.03687688886393425,-1084.6902011606562,1627.0353017409843,False
16.5,0.16964459764242615,0.037174344973150496,-1076.0108894693467,1614.01633420402,False
17.0,0.169318896482992,0.037470673319656866,-1067.5015006740289,1601.2522510110434,False
17.5,0.16899061433623377,0.03776586164672417,-1059.1576163195953,1588.736424479393,False
18.0,0.16865976120445075,0.038059897622439096,-1050.9749762547199,1576.4624643820798,False
18.5,0.16832634719789266,0.038352768837967934,-1042.9494717576001,1564.4242076364003,False
19.0,0.1679903825354389,0.03864446280578082,-1035.0771390207137,1552.6157085310706,False
19.5,0.16765187754529304,0.03893496695783558,-1027.3541529730278,1541.0312294595417,False
20.0,0.16731084266569363,0.03922426864372021,-1019.7768214195623,1529.6652321293436,False
20.5,0.166967288445641,0.03951235512875305,-1012.3415794795814,1518.512369219372,False
21.0,0.16662122554564152,0.03979921359203947,-1005.0449843059383,1507.5674764589075,False
21.5,0.1662726647384682,0.040084831124484355,-997.8837100692551,1496.8255651038826,False
22.0,0.16592161690993942,0.04036919472675899,-990.8545431917108,1486.2818147875662,False
22.5,0.16556809305971537,0.04065229130722155,-983.9543778161977,1475.9315667242965,False
23.0,0.165212104302113,0.0409341076797898,-977.1802114975383,1465.7703172463075,False
23.5,0.16485366186693923,0.041214630561765275,-970.5291411033031,1455.7937116549547,False
24.0,0.16449277710034424,0.04149384657160732,-963.9983589125839,1445.9975383688757,False
24.5,0.16412946146569368,0.0417717422266561,-957.585148901798,1436.377723352697,False
25.0,0.16376372654446125,0.042048303940803375,-951.2868832072983,1426.9303248109475,False
25.5,0.16339558403714188,0.042323518022109624,-945.101018755203,1417.6515281328045,False
26.0,0.16302504576418575,0.042597370670366404,-939.0250940494477,1408.5376410741715,False
26.5,0.16265212366695414,0.042869847974602526,-933.0567261096256,1399.5850891644384,False
27.0,0.16227682980869687,0.04314093591053291,-927.1936075506871,1390.7904113260306,False
27.5,0.16189917637555273,0.043410620337948416,-921.4335037970664,1382.1502556955995,False
28.0,0.16151917567757265,0.04367888699804574,-915.7742504242303,1373.6613756363454,False
28.5,0.1611368401497663,0.04394572151069547,-910.2137506210892,1365.3206259316337,False
29.0,0.1607521823531734,0.04421110937164719,-904.7499727670756,1357.1249591506134,False
29.5,0.16036521497595888,0.04447503594966995,-899.3809481180833,1349.071422177125,False
30.0,0.1599759508345341,0.04473748648362674,-894.1047685957817,1341.1571528936724,False
30.5,0.1595844028747031,0.0449984460794813,-888.9195846751578,1333.3793770127368,False
31.0,0.15919058417283613,0.045257899707235594,-883.8236033654256,1325.7354050481383,False
31.5,0.15879450793706942,0.045515832197796625,-878.8150862797222,1318.2226294195834,False
32.0,0.15839618750853302,0.045772228239770604,-873.8923477892819,1310.8385216839229,False
32.5,0.15799563636260697,0.04602707237618296,-869.0537532580126,1303.5806298870189,False
33.0,0.15759286811020615,0.046280349001122434,-864.2977173536415,1296.4465760304622,False
33.5,0.1571878964990952,0.04653204235630737,-859.6227024318017,1289.4340536477025,False
34.0,0.15678073541523313,0.046782136527572654,-855.0272169896436,1282.5408254844656,False
34.5,0.1563713988841495,0.04703061544127512,-850.5098141857422,1275.7647212786133,False
35.0,0.1559599010723521,0.04727746286061577,-846.0690904232464,1269.1036356348695,False
35.5,0.15554625628876706,0.04752266238187688,-841.703683993393,1262.5555259900896,False
36.0,0.1551304789862122,0.047766197430571825,-837.4122737766598,1256.1184106649898,False
36.5,0.15471258376290448,0.04800805125750589,-833.193577998985,1249.7903669984776,False
37.0,0.154292585364002,0.04824820693474576,-829.0463530406174,1243.5695295609262,False
37.5,0.15387049868318195,0.04848664735149587,-824.9693922952987,1237.454088442948,False
38.0,0.15344633876425448,0.048723355209879124,-820.9615250776002,1231.4422876164003,False
38.5,0.15302012080281407,0.04895831302062031,-817.0216155763529,1225.5324233645294,False
39.0,0.1525918601479293,0.04919150309862937,-813.1485618522302,1219.7228427783452,False
39.5,0.15216157230387084,0.04942290755848303,-809.3412948776287,1214.011942316443,False
40.0,0.1517292729318801,0.049652508309801585,-805.598777617119,1208.3981664256785,False
40.5,0.15129497785197832,0.04988028705251945,-801.9200041468006,1202.8800062202008,False
41.0,0.15085870304481738,0.05010622527204625,-798.3039988110138,1197.4559982165206,False
41.5,0.15042046465357348,0.05033030423431671,-794.7498154149206,1192.1247231223808,False
42.0,0.14998027898588429,0.05055250498072634,-791.2565364515648,1186.8848046773471,False
42.5,0.1495381625158312,0.050772808322950745,-787.8232723620857,1181.7349085431285,False
43.0,0.14909413188596682,0.05099119483764591,-784.4491608278357,1176.6737412417535,False
43.5,0.14864820390938943,0.05120764486102677,-781.1333660932197,1171.7000491398296,False
44.0,0.1482003955718656,0.05142213848332157,-777.8750783181399,1166.8126174772099,False
44.5,0.1477507240340013,0.051634655543099275,-774.673512958988,1162.010269438482,False
45.0,0.1472992066334633,0.05184517562146735,-771.527910177188,1157.291865265782,False
45.5,0.14684586088725168,0.05205367803613708,-768.4375342743488,1152.6563014115231,False
46.0,0.1463907044940249,0.052260141835353706,-765.4016731531374,1148.102509729706,False
46.5,0.1459337553364782,0.05246454579168861,-762.4196378030355,1143.6294567045531,False
47.0,0.1454750314837771,0.05266686839569046,-759.4907618101906,1139.236142715286,False
47.5,0.1450145511940465,0.052867087849392716,-756.6144008906191,1134.9216013359287,False
48.0,0.14455233291691735,0.05306518205967441,-753.789932446063,1130.6848986690943,False
48.5,0.14408839529613213,0.05326112863147112,-751.0167551418476,1126.5251327127714,False
49.0,0.14362275717220957,0.05345490486083358,-748.2942885061237,1122.4414327591855,False
49.5,0.1431554375851714,0.05364648772783025,-745.6219725499225,1118.4329588248838,False
50.0,0.14268645577733116,0.053835853889291525,-742.9992674074849,1114.4989011112275,False
50.5,0.1422158311961473,0.054022979671392045,-740.4256529963686,1110.638479494553,False
51.0,0.14174358349714153,0.054207841062068225,-737.9006286968672,1106.850943045301,False
51.5,0.14126973254688444,0.054390413703267915,-735.4237130503145,1103.135569575472,False
52.0,0.14079429842604907,0.054570672883029026,-732.9944434758771,1099.4916652138156,False
52.5,0.14031730143253465,0.05474859352738409,-730.6123760054738,1095.9185640082108,False
53.0,0.1398387620846615,0.05492415019208785,-728.277085036488,1092.415627554732,False
53.5,0.13935870112443935,0.05509731705416419,-725.988163101979,1088.9822446529686,False
54.0,0.13887713952090955,0.05526806790327018,-723.7452206581157,1085.6178309871736,False
54.5,0.13839409847356432,0.05543637613287336,-721.5478858885997,1082.3218288328994,False
55.0,0.13790959941584283,0.05560221473123993,-719.3958045258605,1079.0937067887908,False
55.5,0.13742366401870765,0.055765556272230156,-717.2886396888503,1075.9329595332754,False
56.0,0.13693631419430188,0.05592637290589869,-715.2260717372769,1072.8391076059154,False
56.5,0.1364475720996892,0.056084636348896384,-713.2077981421575,1069.8116972132361,False
57.0,0.13595746014067878,0.05624031787467092,-711.2335333725931,1066.8503000588896,False
57.5,0.1354660009757363,0.05639338830346354,-709.3030087986981,1063.9545131980472,False
58.0,0.13497321751998345,0.05654381799209905,-707.4159726106443,1061.1239589159663,False
58.5,0.13447913294928734,0.05669157682356629,-705.5721897538098,1058.3582846307147,False
59.0,0.13398377070444156,0.05683663419638697,-703.7714418800462,1055.6571628200693,False
59.5,0.13348715449544124,0.05697895901377003,-702.0135273151138,1053.0202909726709,False
60.0,0.13298930830585362,0.057118519672549356,-700.2982610423575,1050.4473915635363,False
60.5,0.13249025639728593,0.05725528405190281,-698.6254747027257,1047.9382120540886,False
61.0,0.13199002331395296,0.057389219501850365,-696.9950166112698,1045.4925249169046,False
61.5,0.1314886338873457,0.05752029283152962,-695.4067517902846,1043.110127685427,False
62.0,0.1309861132410035,0.05764847029724711,-693.8605620192861,1040.7908430289292,False
62.5,0.13048248679539134,0.05777371759030387,-692.3563459020538,1038.5345188530807,False
63.0,0.12997778027288448,0.057895999824593966,-690.894018950998,1036.341028426497,False
63.5,0.1294720197028619,0.05801528152397547,-689.4735136891398,1034.2102705337097,False
64.0,0.12896523142691185,0.058131526609412544,-688.094779770041,1032.1421696550615,False
64.5,0.12845744210414936,0.05824469838588902,-686.757784116036,1030.136676174054,False
65.0,0.12794867871665014,0.05835475952909268,-685.4625110751773,1028.193766612766,False
65.5,0.12743896857500087,0.05846167207187126,-684.2089625973243,1026.3134438959864,False
66.0,0.12692833932396905,0.05856539739046038,-682.9971584298604,1024.4957376447906,False
66.5,0.12641681894829407,0.058665896190484755,-681.8271363335579,1022.7407045003367,False
67.0,0.12590443577860097,0.0587631284927344,-680.6989523191518,1021.0484284787276,False
67.5,0.12539121849743998,0.05885705361871754,-679.6126809052386,1019.4190213578579,False
68.0,0.12487719614545237,0.058947630175993304,-678.5684153981509,1017.8526230972263,False
68.5,0.12436239812766613,0.05903481604328688,-677.5662681945222,1016.3494022917832,False
69.0,0.1238468542199214,0.059118568355391685,-676.6063711072927,1014.9095566609391,False
69.5,0.12333059457542962,0.05919884348786207,-675.6888757159836,1013.5333135739754,False
