bolt,x_m,y_m,force_x_N,force_y_N,force_N,shear_Pa,bearing_Pa,shear_utilization,bearing_utilization
1,-0.025,-0.02,-510.3658536585365,481.70731707317066,701.7943031276607,24820896.083666485,29241429.29698586,0.27578773426296094,0.2924142929698586
2,0.025,-0.02,-510.3658536585365,-981.7073170731707,1106.4459141664402,39132519.2229822,46101913.090268336,0.4348057691442466,0.46101913090268337
3,0.025,0.02,660.3658536585365,-981.7073170731707,1183.1450955285115,41845197.85517674,49297712.31368798,0.46494664283529713,0.4929771231368798
4,-0.025,0.02,660.3658536585365,481.70731707317066,817.3891362135906,28909226.990668334,34057880.67556628,0.32121363322964813,0.34057880675566277
