material,width_m,height_m,mass_kg,stress_Pa,deflection_m,strength_utilization,deflection_utilization,mass_utilization,model_screen_passes,passes
illustrative_aluminum,0.03,0.01,0.12150000000000001,74999999.99999999,0.0016304347826086951,0.5999999999999999,1.6304347826086951,0.405,True,False
illustrative_aluminum,0.04,0.008,0.1296,87890624.99999999,0.002388332201086956,0.7031249999999999,2.388332201086956,0.432,True,False
illustrative_steel,0.03,0.004,0.14129999999999998,468750000.0,0.008789062499999998,2.6785714285714284,8.789062499999998,0.471,False,False
illustrative_steel,0.02,0.006,0.1413,312500000.0,0.0039062499999999996,1.7857142857142858,3.9062499999999996,0.47100000000000003,True,False
illustrative_aluminum,0.025,0.014,0.14175000000000001,45918367.346938774,0.0007130181265052603,0.36734693877551017,0.7130181265052603,0.4725000000000001,True,True
illustrative_aluminum,0.035,0.01,0.14175000000000001,64285714.28571427,0.0013975155279503098,0.5142857142857141,1.3975155279503098,0.4725000000000001,True,False
illustrative_aluminum,0.03,0.012,0.1458,52083333.333333336,0.000943538647342995,0.4166666666666667,0.943538647342995,0.48600000000000004,True,True
illustrative_aluminum,0.04,0.01,0.162,56249999.99999999,0.0012228260869565214,0.44999999999999996,1.2228260869565213,0.54,True,False
illustrative_steel,0.035,0.004,0.16485000000000002,401785714.28571415,0.00753348214285714,2.295918367346938,7.533482142857141,0.5495000000000001,False,False
illustrative_aluminum,0.03,0.014,0.1701,38265306.12244898,0.0005941817720877169,0.30612244897959184,0.5941817720877169,0.5670000000000001,True,True
illustrative_aluminum,0.035,0.012,0.1701,44642857.142857134,0.0008087474120082813,0.3571428571428571,0.8087474120082813,0.5670000000000001,True,True
illustrative_steel,0.025,0.006,0.176625,249999999.99999997,0.003124999999999999,1.4285714285714284,3.1249999999999987,0.58875,True,False
illustrative_steel,0.02,0.008,0.1884,175781249.99999997,0.0016479492187499998,1.0044642857142856,1.6479492187499998,0.6280000000000001,True,False
illustrative_steel,0.04,0.004,0.1884,351562499.99999994,0.006591796874999999,2.008928571428571,6.591796874999999,0.6280000000000001,True,False
illustrative_aluminum,0.04,0.012,0.1944,39062500.0,0.0007076539855072464,0.3125,0.7076539855072463,0.648,True,True
illustrative_aluminum,0.035,0.014,0.19845000000000002,32798833.81924198,0.0005092986617894716,0.26239067055393583,0.5092986617894716,0.6615000000000001,True,True
illustrative_steel,0.03,0.006,0.21194999999999997,208333333.33333334,0.0026041666666666665,1.1904761904761905,2.6041666666666665,0.7064999999999999,True,False
illustrative_aluminum,0.04,0.014,0.2268,28698979.591836732,0.00044563632906578765,0.22959183673469385,0.44563632906578765,0.756,True,True
illustrative_steel,0.02,0.01,0.23550000000000001,112499999.99999999,0.0008437499999999998,0.6428571428571428,0.8437499999999998,0.785,True,True
illustrative_steel,0.025,0.008,0.23550000000000001,140624999.99999997,0.0013183593749999997,0.8035714285714284,1.3183593749999996,0.785,True,False
illustrative_steel,0.035,0.006,0.24727500000000005,178571428.57142854,0.0022321428571428566,1.020408163265306,2.2321428571428563,0.8242500000000001,True,False
illustrative_steel,0.03,0.008,0.28259999999999996,117187500.0,0.0010986328124999998,0.6696428571428571,1.0986328124999998,0.942,True,False
illustrative_steel,0.02,0.012,0.2826,78125000.0,0.00048828124999999995,0.44642857142857145,0.48828124999999994,0.9420000000000001,True,True
illustrative_steel,0.04,0.006,0.2826,156250000.0,0.0019531249999999998,0.8928571428571429,1.9531249999999998,0.9420000000000001,True,False
illustrative_steel,0.025,0.01,0.294375,89999999.99999999,0.0006749999999999998,0.5142857142857142,0.6749999999999998,0.9812500000000001,True,True
illustrative_steel,0.02,0.014,0.3297,57397959.183673464,0.0003074890670553935,0.3279883381924198,0.3074890670553935,1.099,True,False
illustrative_steel,0.035,0.008,0.32970000000000005,100446428.57142854,0.0009416852678571425,0.5739795918367345,0.9416852678571426,1.0990000000000002,True,False
illustrative_steel,0.03,0.01,0.35324999999999995,74999999.99999999,0.0005624999999999998,0.4285714285714285,0.5624999999999999,1.1775,True,False
illustrative_steel,0.025,0.012,0.35325,62499999.99999999,0.00039062499999999986,0.3571428571428571,0.39062499999999983,1.1775,True,False
illustrative_steel,0.04,0.008,0.3768,87890624.99999999,0.0008239746093749999,0.5022321428571428,0.8239746093749999,1.2560000000000002,True,False
illustrative_steel,0.025,0.014,0.412125,45918367.346938774,0.0002459912536443148,0.26239067055393583,0.2459912536443148,1.37375,True,False
illustrative_steel,0.035,0.01,0.4121250000000001,64285714.28571427,0.00048214285714285693,0.3673469387755101,0.48214285714285693,1.3737500000000002,True,False
illustrative_steel,0.03,0.012,0.42389999999999994,52083333.333333336,0.0003255208333333333,0.2976190476190476,0.3255208333333333,1.4129999999999998,True,False
illustrative_steel,0.04,0.01,0.47100000000000003,56249999.99999999,0.0004218749999999999,0.3214285714285714,0.4218749999999999,1.57,True,False
illustrative_steel,0.03,0.014,0.49454999999999993,38265306.12244898,0.00020499271137026237,0.21865889212827988,0.20499271137026237,1.6484999999999999,True,False
illustrative_steel,0.035,0.012,0.4945500000000001,44642857.142857134,0.0002790178571428571,0.2551020408163265,0.27901785714285704,1.6485000000000003,True,False
illustrative_steel,0.04,0.012,0.5652,39062500.0,0.00024414062499999997,0.22321428571428573,0.24414062499999997,1.8840000000000001,True,False
illustrative_steel,0.035,0.014,0.5769750000000001,32798833.81924198,0.0001757080383173677,0.18742190753852558,0.1757080383173677,1.9232500000000006,True,False
illustrative_steel,0.04,0.014,0.6594,28698979.591836732,0.00015374453352769675,0.1639941690962099,0.15374453352769674,2.198,True,False
